iter,time,reward,steps,convergence
1,0.33617052600000363,-318.06,300.0,76.22861089121517
2,0.5129525959999981,-307.05,300.0,68.48044786601062
3,0.6962843210000003,-304.57,300.0,64.8693843147443
4,0.8625046450000013,-303.05,300.0,61.82712723828604
5,1.0386507730000005,-302.96,300.0,61.85678716568336
6,1.250561279000003,-301.25,300.0,46.33266051085155
7,1.4067075920000036,-300.16,298.08,47.76584201303474
8,1.5774904400000054,-301.52,300.0,35.53067407971219
9,1.7740514920000052,-177.98,193.6,30.22989267143246
10,2.0746721990000054,-20.77,72.66,27.516871316845254
11,2.2633503880000063,-37.18,75.84,28.288180645033307
12,2.465751790000006,-31.61,76.29,7.453642440713615
13,2.5651022170000033,-39.83,75.93,0.0018780821841630768
14,2.592941978000006,-19.87,74.39,0.0008668733024990161
15,2.6170481829999943,-37.66,74.85,0.0007922822326946743
16,2.640846208999996,-43.5,78.33,0.0007262840556236938
17,2.6634868939999876,-43.33,75.26,0.0006685146841078904
18,2.6864813669999847,-25.44,75.66,0.0006173640044977446
19,2.714148208999987,-30.27,74.98,0.0005703435124715384
20,2.738787469999977,-28.99,75.24,0.0005248733893736812
21,2.7645208359999742,-30.25,76.01,0.0004789595169825134
22,2.785705911999976,-27.72,74.36,0.00043156152970169614
23,2.832814921999983,-27.76,75.62,0.0003826514291702665
24,2.8574619219999846,-32.79,75.26,0.0003330400692718172
25,2.879727344999978,-24.86,75.28,0.0002840684330109866
26,2.9010908339999872,-26.75,75.17,0.00024031853457984198
27,2.925094052999981,-20.73,74.49,0.00020035454237188333
28,2.9505159039999853,-38.18,76.34,0.00016357962027768735
29,2.978921992999986,-32.66,74.82,0.00013083596476093362
30,3.0042880259999833,-28.98,76.11,0.00010259392322353733
31,3.0258539869999908,-26.83,75.46,7.895590425022192e-05
32,3.051407330999993,-33.37,76.06,5.971789533276706e-05
33,3.0990086149999883,-41.92,76.97,4.445974671085651e-05
34,3.1416192859999796,-29.72,75.24,3.263936687858404e-05
35,3.168082185999978,-27.99,75.32,2.3674063967860093e-05
36,3.189291924999978,-30.66,75.33,1.7000860957239183e-05
37,3.212566908999989,-26.01,75.65,1.2114473506130707e-05
38,3.258794249999994,-39.08,75.85,8.585946154937574e-06
39,3.281139760000002,-49.69,75.92,6.0668695240906345e-06
40,3.308422983,-36.37,76.4,4.28430431753668e-06
41,3.3303691859999986,-36.24,74.63,3.0307562255416087e-06
42,3.3518153179999928,-31.03,74.56,2.152384887210701e-06
43,3.3748082819999894,-42.03,74.84,1.5374791146882671e-06
44,3.397964562999988,-31.36,76.71,1.1062933964467447e-06
45,3.4188934579999852,-24.57,76.03,8.026765385693579e-07
