iter,time,reward,steps,convergence
1,0.065153626,-326.12,300.0,76.22861089121517
2,0.11959986799999989,-308.17,300.0,58.80929883779114
3,0.15508873199999984,-308.09,300.0,45.83504746273156
4,0.18443316499999884,-311.99,300.0,39.06260711395511
5,0.2179322459999984,-310.77,300.0,26.845025213832546
6,0.2670665529999985,-308.72,300.0,23.80824117712789
7,0.2946387519999991,-308.11,300.0,21.007270476307664
8,0.3275867659999996,-308.26,300.0,15.028467966537594
9,0.3666741929999997,-310.61,300.0,13.840822906541987
10,0.39479582899999954,-306.83,300.0,13.16726071340231
11,0.4289392999999997,-309.19,300.0,10.408943487839705
12,0.4569862029999996,-308.27,300.0,9.896227115786186
13,0.4859063310000007,-308.36,300.0,8.695791820143816
14,0.5121417730000015,-308.9,300.0,8.044205867111351
15,0.5390654000000001,-306.47,300.0,7.066489068415114
16,0.5671825470000016,-305.39,300.0,6.323554120357599
17,0.5942534839999993,-306.38,300.0,5.574784685689998
18,0.6211249390000013,-307.91,300.0,4.618149538348822
19,0.6487979260000003,-306.65,300.0,4.107191428986376
20,0.6750466159999995,-305.66,300.0,3.8963824244800076
21,0.7052149910000018,-310.34,300.0,3.5976475097233553
22,0.7327798160000007,-300.08,300.0,3.243887923381198
23,0.7593255100000036,-299.27,300.0,2.8220457399820518
24,0.7858088270000039,-299.81,300.0,2.275029222673023
25,0.8206926660000029,-299.36,300.0,2.1878365425258774
26,0.850061623000002,-299.45,300.0,2.118803481963365
27,0.8797455340000013,-299.54,300.0,1.8976099840756877
28,0.9088090290000039,-299.63,300.0,1.6452252998496029
29,0.9354206620000056,-299.54,300.0,1.5969406446837908
30,0.9618226250000035,-299.27,300.0,1.5279190267124427
31,0.998296338000003,-299.36,300.0,1.442444167707933
32,1.025586820000001,-299.81,300.0,1.324478977232726
33,1.0518569729999996,-298.07,297.91,1.2492578048660512
34,1.0784431189999992,-299.99,300.0,1.19070327588787
35,1.1062632659999991,-300.08,300.0,1.142509222970979
36,1.1324540220000046,-299.18,300.0,1.0738089468881142
37,1.161419010000003,-299.18,300.0,0.9590195260213221
38,1.1879415950000052,-295.55,296.92,0.8204274944278751
39,1.2145445090000067,-286.38,288.34,0.7446948606976349
40,1.2414275550000085,-278.14,282.2,0.7356702558537265
41,1.2682319520000078,-43.0,93.66,0.7269768311547651
42,1.2961420520000075,-33.46,74.95,0.7155223930374817
43,1.3241629740000107,-31.07,74.53,0.6843416534357232
44,1.351819722000009,-17.12,74.85,0.5637571210317986
45,1.3814294270000147,-48.59,77.34,0.27301121439025877
46,1.4088687520000178,-26.35,75.15,0.2318144127092765
47,1.435196471000019,-27.25,75.14,0.20874611242862784
48,1.4615283420000154,-36.84,75.4,0.18311196175064026
49,1.488467538000016,-40.21,75.28,0.1536063002849133
50,1.5154427710000178,-25.32,75.18,0.12540303935698205
51,1.5479493730000229,-30.92,75.26,0.09836913802358538
52,1.5774127200000265,-40.75,74.8,0.07523354185983777
53,1.6094789860000205,-37.15,75.98,0.056485846795730765
54,1.6377140290000227,-30.72,76.23,0.04178855640749646
55,1.663916666000027,-26.38,75.5,0.030530360999449613
56,1.6907340470000278,-23.79,74.72,0.022062527863376147
57,1.718228047000025,-26.92,77.07,0.0157930980552905
58,1.7488925260000272,-35.96,75.91,0.01121731122496783
59,1.7757534680000262,-26.11,75.06,0.007921177845602756
60,1.8024732200000244,-44.75,76.71,0.005574546208976017
61,1.8324511910000254,-27.79,75.02,0.003920426472141969
62,1.8592331820000254,-29.44,76.3,0.002763307992324826
63,1.8873282710000296,-33.02,77.24,0.001957709745724401
64,1.9146058360000282,-28.02,74.28,0.0013976495777754394
65,1.9431034510000273,-22.52,75.75,0.001007433494166321
66,1.9727958550000295,-27.44,77.1,0.00073395426147016
67,2.0017279250000257,-20.9,74.89,0.0005405148984038988
68,2.0316725880000277,-20.03,73.21,0.0004020616893001261
69,2.0579987780000266,-28.73,75.45,0.00030163061956045567
70,2.088351142000022,-16.18,74.33,0.0002277788593829655
71,2.1166141720000198,-39.67,77.93,0.0001727778348481479
72,2.146456439000019,-31.41,76.21,0.0001313716424959921
73,2.1741327910000194,-38.32,75.96,9.994100798138561e-05
74,2.200819021000015,-32.46,75.6,7.594977491720556e-05
75,2.2291926610000132,-26.37,74.37,5.758327642269023e-05
76,2.2555447620000137,-36.56,77.0,4.3514120676491075e-05
77,2.282512058000009,-42.23,76.36,3.2750913163681616e-05
78,2.3087508360000086,-36.57,75.78,2.45400543121832e-05
79,2.338799384000005,-31.24,75.45,1.8301069729886876e-05
80,2.3649933390000015,-32.51,75.54,1.3582981893023316e-05
81,2.394202555999996,-31.01,74.28,1.0033911785001237e-05
82,2.420318555999991,-37.84,74.49,7.379111011118766e-06
83,2.446473690999987,-15.43,74.32,5.4045126205437555e-06
84,2.4726694939999874,-27.24,74.65,3.944038134306993e-06
85,2.5000669129999835,-37.19,75.28,2.8695843994341885e-06
86,2.5264513739999828,-18.73,73.88,2.0830157581031017e-06
87,2.552895009999979,-33.27,75.28,1.5097187358037445e-06
88,2.581336195999974,-38.32,78.14,1.0934117540273292e-06
89,2.608901660999969,-21.11,73.61,7.919815487866799e-07
